epoch,seconds,train_horizon,train_loss,train_pred_mse,train_full_rel_l2,val_full_rel_l2,val_pred_mse,lr,params
75,45.672021,10,1.81147170e-01,3.57408157e-02,1.35067884e-01,4.14778347e-01,4.40939666e-01,5.00000000e-04,948353
76,36.541789,10,1.43005993e-01,2.80980416e-02,1.20224366e-01,4.21648901e-01,4.50255683e-01,5.00000000e-04,948353
77,35.493130,10,1.37112826e-01,2.69186074e-02,1.17850263e-01,4.09552565e-01,4.26002643e-01,5.00000000e-04,948353
78,33.236159,10,1.34128758e-01,2.63256186e-02,1.16683223e-01,3.94679333e-01,3.93959871e-01,5.00000000e-04,948353
79,31.879959,10,1.33119664e-01,2.61215583e-02,1.16183057e-01,3.84422798e-01,3.76333907e-01,5.00000000e-04,948353
80,35.206876,10,1.28607438e-01,2.52114274e-02,1.13990680e-01,4.19506531e-01,4.43149923e-01,5.00000000e-04,948353
81,28.575878,10,1.29515378e-01,2.54142517e-02,1.14635843e-01,3.65369283e-01,3.39700177e-01,5.00000000e-04,948353
82,29.235070,10,1.29206152e-01,2.53417709e-02,1.14421908e-01,3.93672733e-01,3.92387131e-01,5.00000000e-04,948353
83,28.011982,10,1.20402296e-01,2.35907128e-02,1.10421265e-01,3.70346053e-01,3.48206095e-01,5.00000000e-04,948353
84,29.778181,10,1.19514125e-01,2.34084033e-02,1.09794785e-01,3.73111925e-01,3.51602931e-01,5.00000000e-04,948353
85,29.445204,10,1.13411458e-01,2.22118135e-02,1.07035509e-01,4.06864402e-01,4.17077975e-01,5.00000000e-04,948353
86,35.084112,10,1.15958891e-01,2.27286773e-02,1.08262860e-01,4.07808681e-01,4.20273522e-01,5.00000000e-04,948353
87,34.306453,10,1.16271993e-01,2.27817629e-02,1.08318460e-01,3.76728942e-01,3.60239813e-01,5.00000000e-04,948353
88,33.480008,10,1.14086895e-01,2.23533243e-02,1.07416618e-01,3.64426697e-01,3.34543779e-01,5.00000000e-04,948353
89,31.351755,10,1.14036911e-01,2.23504582e-02,1.07542098e-01,3.71351994e-01,3.47681187e-01,5.00000000e-04,948353
90,29.592496,10,1.12443726e-01,2.20271196e-02,1.06686231e-01,3.84199214e-01,3.74022463e-01,5.00000000e-04,948353
91,28.814720,10,1.18643221e-01,2.32569384e-02,1.09706248e-01,4.07758813e-01,4.19249059e-01,5.00000000e-04,948353
92,27.458019,10,1.15708318e-01,2.26845959e-02,1.08274618e-01,4.34156563e-01,4.74444622e-01,5.00000000e-04,948353
93,28.936936,10,1.14981342e-01,2.25281752e-02,1.07836034e-01,3.64650986e-01,3.36340714e-01,5.00000000e-04,948353
94,27.347834,10,1.18440030e-01,2.32184992e-02,1.09511344e-01,3.67673739e-01,3.38936035e-01,5.00000000e-04,948353
95,27.335959,10,1.12174975e-01,2.19885533e-02,1.06505495e-01,3.95789455e-01,3.92471443e-01,5.00000000e-04,948353
96,29.689968,10,1.12702598e-01,2.20893023e-02,1.06787044e-01,4.12876215e-01,4.27460279e-01,5.00000000e-04,948353
97,29.607261,10,1.11182598e-01,2.17759925e-02,1.05325703e-01,3.56561295e-01,3.22524680e-01,5.00000000e-04,948353
98,28.456209,10,1.06548725e-01,2.08685134e-02,1.03707882e-01,3.63907012e-01,3.32522398e-01,5.00000000e-04,948353
99,28.593479,10,1.03178912e-01,2.02076785e-02,1.02141029e-01,3.75009512e-01,3.54063280e-01,2.50000000e-04,948353
100,50.708518,20,1.07326298e+00,2.10396728e-01,2.87358639e-01,2.54427080e-01,1.61948421e-01,2.50000000e-04,948353
101,51.704679,20,8.65267931e-01,1.69028506e-01,2.58401588e-01,2.59335955e-01,1.70087015e-01,2.50000000e-04,948353
102,52.027095,20,7.66676089e-01,1.49352341e-01,2.43748485e-01,2.29629456e-01,1.32497768e-01,2.50000000e-04,948353
103,48.487334,20,7.31570184e-01,1.42363564e-01,2.37537256e-01,2.50443726e-01,1.56707997e-01,2.50000000e-04,948353
104,49.552462,20,7.69920833e-01,1.50069919e-01,2.43466394e-01,2.40849545e-01,1.45530750e-01,2.50000000e-04,948353
105,45.374487,20,7.32098659e-01,1.42454180e-01,2.37731653e-01,2.22080963e-01,1.23235375e-01,2.50000000e-04,948353
106,45.448821,20,6.93243365e-01,1.34790431e-01,2.31472450e-01,2.28651627e-01,1.31562754e-01,2.50000000e-04,948353
107,45.924004,20,6.56347844e-01,1.27392888e-01,2.24965522e-01,2.17136841e-01,1.18307168e-01,2.50000000e-04,948353
108,46.491108,20,6.53334463e-01,1.26834804e-01,2.24566290e-01,2.38661005e-01,1.42385374e-01,2.50000000e-04,948353
109,45.041561,20,6.71443678e-01,1.30467193e-01,2.27627042e-01,2.31773566e-01,1.34230007e-01,2.50000000e-04,948353
110,47.345746,20,6.89233622e-01,1.34010926e-01,2.30362411e-01,2.20934175e-01,1.22557452e-01,2.50000000e-04,948353
111,46.019486,20,6.55102048e-01,1.27176978e-01,2.24618838e-01,2.19833280e-01,1.21178977e-01,2.50000000e-04,948353
112,45.926036,20,6.46502544e-01,1.25446044e-01,2.22948335e-01,2.15819769e-01,1.17121151e-01,2.50000000e-04,948353
113,45.856567,20,6.30521374e-01,1.22247608e-01,2.20405367e-01,2.25167496e-01,1.27250041e-01,2.50000000e-04,948353
114,46.836310,20,6.16096624e-01,1.19404305e-01,2.18023229e-01,2.07295196e-01,1.08508244e-01,2.50000000e-04,948353
115,46.656855,20,6.07265482e-01,1.17602149e-01,2.16278580e-01,2.07371240e-01,1.08900918e-01,2.50000000e-04,948353
116,44.866491,20,6.38410059e-01,1.23818615e-01,2.21427497e-01,2.23665950e-01,1.25845294e-01,2.50000000e-04,948353
117,46.605930,20,6.01278490e-01,1.16375639e-01,2.15312763e-01,2.37987455e-01,1.42214711e-01,2.50000000e-04,948353
118,46.116968,20,5.94770783e-01,1.15149989e-01,2.14155583e-01,2.13327836e-01,1.14174241e-01,2.50000000e-04,948353
119,44.989882,20,6.00390332e-01,1.16262459e-01,2.14796875e-01,2.13416279e-01,1.15382345e-01,2.50000000e-04,948353
120,42.993899,20,6.14392800e-01,1.19032189e-01,2.17225911e-01,2.07354038e-01,1.07929966e-01,2.50000000e-04,948353
121,43.318590,20,5.74680500e-01,1.11073936e-01,2.10309036e-01,2.13269546e-01,1.17033515e-01,2.50000000e-04,948353
122,46.262112,20,5.77364721e-01,1.11691560e-01,2.10597159e-01,2.09948829e-01,1.12266582e-01,2.50000000e-04,948353
123,45.090704,20,6.12782294e-01,1.18714520e-01,2.16806547e-01,2.11467607e-01,1.12159530e-01,2.50000000e-04,948353
124,45.866130,20,5.87722674e-01,1.13682596e-01,2.12441436e-01,2.58965231e-01,1.67806945e-01,2.50000000e-04,948353
125,45.400061,20,6.07667034e-01,1.17676646e-01,2.15845956e-01,2.07106807e-01,1.08454036e-01,2.50000000e-04,948353
126,46.226512,20,5.66714288e-01,1.09480854e-01,2.08818231e-01,2.15040684e-01,1.17665195e-01,2.50000000e-04,948353
127,44.368837,20,5.83716240e-01,1.12890956e-01,2.11900699e-01,2.09673204e-01,1.10268775e-01,2.50000000e-04,948353
128,45.705351,20,5.71006553e-01,1.10342369e-01,2.09651416e-01,2.39439855e-01,1.46712380e-01,2.50000000e-04,948353
129,46.313849,20,5.85443412e-01,1.13202645e-01,2.12254896e-01,2.09304771e-01,1.10072937e-01,2.50000000e-04,948353
130,46.237551,20,6.48681419e-01,1.25867544e-01,2.22947466e-01,2.35435306e-01,1.39011928e-01,2.50000000e-04,948353
131,45.871102,20,6.19805230e-01,1.19986092e-01,2.18201352e-01,2.06212264e-01,1.07366880e-01,2.50000000e-04,948353
132,46.312312,20,5.59685486e-01,1.08096329e-01,2.07314848e-01,2.31303691e-01,1.36243130e-01,2.50000000e-04,948353
133,45.444468,20,5.75203957e-01,1.11172077e-01,2.10163326e-01,2.34208601e-01,1.39338084e-01,2.50000000e-04,948353
134,47.759273,20,5.72221880e-01,1.10569069e-01,2.09694822e-01,2.06752422e-01,1.07766083e-01,2.50000000e-04,948353
135,45.760497,20,5.52672698e-01,1.06718883e-01,2.06120274e-01,2.12199314e-01,1.12607795e-01,2.50000000e-04,948353
136,46.587361,20,5.56435804e-01,1.07446353e-01,2.06773308e-01,2.31066996e-01,1.36467034e-01,2.50000000e-04,948353
137,47.056090,20,5.85318149e-01,1.13232807e-01,2.12078971e-01,2.17823250e-01,1.22118749e-01,2.50000000e-04,948353
138,46.652070,20,5.48083883e-01,1.05752148e-01,2.04988356e-01,2.04999555e-01,1.06460822e-01,2.50000000e-04,948353
139,47.326488,20,5.65070626e-01,1.09120548e-01,2.08205420e-01,2.26146287e-01,1.29166195e-01,2.50000000e-04,948353
140,47.798882,20,5.53265567e-01,1.06807179e-01,2.06159987e-01,2.20779176e-01,1.23210622e-01,2.50000000e-04,948353
141,45.926552,20,5.59280569e-01,1.08018996e-01,2.07180325e-01,2.04645801e-01,1.05438217e-01,2.50000000e-04,948353
142,45.401841,20,5.67745593e-01,1.09713753e-01,2.08763807e-01,2.08498764e-01,1.08946457e-01,2.50000000e-04,948353
143,45.685234,20,5.63690416e-01,1.08885883e-01,2.07825142e-01,2.13672796e-01,1.14323298e-01,2.50000000e-04,948353
144,44.941050,20,5.80657944e-01,1.12260231e-01,2.10640063e-01,2.00298237e-01,1.00906726e-01,2.50000000e-04,948353
145,45.067303,20,5.67194114e-01,1.09539285e-01,2.08194940e-01,2.16363201e-01,1.17751364e-01,2.50000000e-04,948353
146,47.057053,20,5.37940834e-01,1.03673414e-01,2.03303254e-01,1.98143783e-01,9.84967098e-02,2.50000000e-04,948353
147,45.702994,20,5.59114116e-01,1.07944079e-01,2.07264171e-01,2.00327688e-01,1.00631762e-01,2.50000000e-04,948353
148,45.554430,20,5.72041963e-01,1.10485725e-01,2.09442785e-01,2.17484680e-01,1.18614746e-01,2.50000000e-04,948353
149,44.486675,20,5.58688358e-01,1.07790772e-01,2.07040900e-01,2.27868066e-01,1.30679276e-01,2.50000000e-04,948353
150,45.361112,20,5.54550557e-01,1.06996402e-01,2.06391315e-01,2.01093763e-01,1.02244433e-01,2.50000000e-04,948353
151,45.902830,20,5.56396244e-01,1.07440804e-01,2.06351345e-01,2.01816700e-01,1.02542974e-01,2.50000000e-04,948353
152,47.519178,20,5.32350468e-01,1.02645476e-01,2.02049307e-01,2.29539641e-01,1.31561303e-01,2.50000000e-04,948353
153,45.300354,20,5.52162199e-01,1.06598026e-01,2.05774468e-01,1.98219194e-01,9.92912464e-02,2.50000000e-04,948353
154,45.523727,20,5.28762899e-01,1.01914701e-01,2.01414731e-01,2.00875096e-01,1.02174571e-01,2.50000000e-04,948353
155,44.846446,20,5.26546249e-01,1.01484180e-01,2.00947681e-01,2.01147949e-01,1.01958317e-01,2.50000000e-04,948353
156,45.274257,20,5.27209494e-01,1.01585867e-01,2.01145960e-01,2.08812873e-01,1.10527133e-01,2.50000000e-04,948353
