epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
84,36.561098,10,0,1.17737888e-01,1.14993353e-01,4.96473966e-01,4.99287894e-01,5.00000000e-04,745342
85,36.131971,10,0,1.13376433e-01,1.10629202e-01,4.83233309e-01,4.85396609e-01,5.00000000e-04,745342
86,35.794590,10,0,1.13531626e-01,1.10788243e-01,4.71257021e-01,4.73535712e-01,5.00000000e-04,745342
87,34.497068,10,0,1.10562208e-01,1.07855400e-01,4.62143652e-01,4.63180869e-01,5.00000000e-04,745342
88,36.437130,10,0,1.09607461e-01,1.06917925e-01,5.18450797e-01,5.23539236e-01,5.00000000e-04,745342
89,36.226460,10,0,1.06534547e-01,1.03927272e-01,5.15767148e-01,5.19010391e-01,5.00000000e-04,745342
90,37.751938,10,0,1.03152414e-01,1.00639930e-01,5.18486323e-01,5.22695229e-01,5.00000000e-04,745342
91,37.061235,10,0,1.04254863e-01,1.01905889e-01,4.57160275e-01,4.60371957e-01,5.00000000e-04,745342
92,35.526180,10,0,1.00757981e-01,9.86186707e-02,5.03582091e-01,5.08508072e-01,5.00000000e-04,745342
93,34.611785,10,0,1.01132249e-01,9.92323825e-02,4.46398332e-01,4.47406847e-01,5.00000000e-04,745342
94,34.837480,10,0,9.89237748e-02,9.72620822e-02,4.64464271e-01,4.67196541e-01,5.00000000e-04,745342
95,34.575800,10,0,9.63233849e-02,9.48895328e-02,4.91789734e-01,4.94709561e-01,5.00000000e-04,745342
96,35.903150,10,0,9.52595560e-02,9.39401176e-02,4.78220177e-01,4.80321412e-01,5.00000000e-04,745342
97,35.306665,10,0,9.48019612e-02,9.35290682e-02,4.80490041e-01,4.82830551e-01,5.00000000e-04,745342
98,34.637823,10,0,9.37341158e-02,9.24931282e-02,4.68990610e-01,4.70299270e-01,5.00000000e-04,745342
99,34.428829,10,0,9.27928239e-02,9.15709712e-02,4.61483388e-01,4.64225447e-01,2.50000000e-04,745342
100,34.293143,10,0,8.93966186e-02,8.82116875e-02,4.78720298e-01,4.81147144e-01,2.50000000e-04,745342
