epoch,seconds,horizon,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
124,0.246634,1,1.18725985e-03,1.18462789e-03,,4.63490914e-02,5.00000000e-04,124581
125,0.236957,1,1.18483259e-03,1.18234336e-03,,4.82105471e-02,5.00000000e-04,124581
126,0.242088,1,1.18235987e-03,1.18004143e-03,,4.60979217e-02,5.00000000e-04,124581
127,0.243212,1,1.17764436e-03,1.17526120e-03,,4.88607912e-02,5.00000000e-04,124581
128,0.237052,1,1.18253428e-03,1.18017798e-03,,4.86049579e-02,5.00000000e-04,124581
129,0.246309,1,1.16697072e-03,1.16467149e-03,,4.64881229e-02,5.00000000e-04,124581
130,0.237080,1,1.15739191e-03,1.15514863e-03,,4.64947358e-02,5.00000000e-04,124581
131,0.242222,1,1.15837513e-03,1.15646630e-03,,4.62553978e-02,5.00000000e-04,124581
132,0.242735,1,1.15413277e-03,1.15218194e-03,,4.81708506e-02,5.00000000e-04,124581
133,0.237573,1,1.17036484e-03,1.16840670e-03,,4.87025234e-02,5.00000000e-04,124581
134,0.269837,1,1.16984063e-03,1.16783986e-03,,4.71431172e-02,5.00000000e-04,124581
135,0.287808,1,1.16184918e-03,1.15980244e-03,,4.61826813e-02,5.00000000e-04,124581
136,0.283141,1,1.16264386e-03,1.16061409e-03,,4.71349418e-02,5.00000000e-04,124581
137,0.236909,1,1.15392434e-03,1.15184387e-03,,4.77002913e-02,5.00000000e-04,124581
138,0.284301,1,1.14660911e-03,1.14439364e-03,,4.73852268e-02,5.00000000e-04,124581
139,0.267907,1,1.15701066e-03,1.15430628e-03,,4.54860359e-02,5.00000000e-04,124581
140,0.286726,1,1.14362373e-03,1.14155857e-03,,4.70086363e-02,5.00000000e-04,124581
141,0.303715,1,1.15852249e-03,1.15662048e-03,,4.80966321e-02,5.00000000e-04,124581
142,0.357010,1,1.16374150e-03,1.16179695e-03,,4.71926162e-02,5.00000000e-04,124581
143,0.634773,1,1.16131801e-03,1.15858170e-03,,4.90113315e-02,5.00000000e-04,124581
144,0.263956,1,1.14836545e-03,1.14567738e-03,,4.70099473e-02,5.00000000e-04,124581
145,0.243069,1,1.16026437e-03,1.15780948e-03,,5.00649595e-02,5.00000000e-04,124581
146,0.241089,1,1.14945592e-03,1.14722244e-03,,4.70835938e-02,5.00000000e-04,124581
147,0.238395,1,1.17252922e-03,1.16956797e-03,,4.90522927e-02,5.00000000e-04,124581
148,0.292063,1,1.14292296e-03,1.14046533e-03,,4.85673220e-02,5.00000000e-04,124581
149,0.253893,1,1.15400623e-03,1.15162689e-03,,4.68011594e-02,5.00000000e-04,124581
150,0.240954,1,1.13835029e-03,1.13561134e-03,,4.95230332e-02,5.00000000e-04,124581
151,0.244431,1,1.13478455e-03,1.13191196e-03,,4.66935799e-02,5.00000000e-04,124581
152,0.235905,1,1.13225321e-03,1.12964634e-03,,4.51871088e-02,5.00000000e-04,124581
153,0.240564,1,1.12709661e-03,1.12516626e-03,,4.62204246e-02,5.00000000e-04,124581
154,0.236468,1,1.12263221e-03,1.12011655e-03,,4.89803019e-02,5.00000000e-04,124581
155,0.241224,1,1.16411596e-03,1.16102204e-03,,4.92818467e-02,5.00000000e-04,124581
156,0.237890,1,1.14159216e-03,1.13837682e-03,,4.58202320e-02,5.00000000e-04,124581
157,0.239836,1,1.12165475e-03,1.11929687e-03,,4.67579117e-02,5.00000000e-04,124581
158,0.250259,1,1.13083773e-03,1.12880912e-03,,4.57096478e-02,5.00000000e-04,124581
159,0.286951,1,1.14432140e-03,1.14188399e-03,,5.07528700e-02,5.00000000e-04,124581
160,0.297795,1,1.13373031e-03,1.13151598e-03,,5.20149320e-02,5.00000000e-04,124581
161,0.293864,1,1.12673699e-03,1.12484049e-03,,4.82270575e-02,5.00000000e-04,124581
162,0.299688,1,1.11139301e-03,1.10941572e-03,,4.62120298e-02,5.00000000e-04,124581
163,0.293578,1,1.11455423e-03,1.11229667e-03,,4.90462653e-02,5.00000000e-04,124581
164,0.296078,1,1.14064835e-03,1.13875216e-03,,4.61608173e-02,5.00000000e-04,124581
165,0.295515,1,1.11707585e-03,1.11523045e-03,,4.71052299e-02,5.00000000e-04,124581
166,0.275956,1,1.11166060e-03,1.10987657e-03,,4.73124862e-02,5.00000000e-04,124581
167,0.287570,1,1.11313013e-03,1.11130058e-03,,4.85093836e-02,5.00000000e-04,124581
