nohup: ignoring input
epoch 0154 | 77.15s | horizon 20 | fallback 00 | train 4.336908e-04 | test 2.793989e-02
epoch 0155 | 75.01s | horizon 20 | fallback 00 | train 3.519347e-04 | test 2.843618e-02
epoch 0156 | 73.09s | horizon 20 | fallback 00 | train 3.616499e-04 | test 2.967182e-02
epoch 0157 | 75.63s | horizon 20 | fallback 00 | train 4.039610e-04 | test 6.617944e-02
epoch 0158 | 74.85s | horizon 20 | fallback 00 | train 4.409602e-04 | test 3.690190e-02
epoch 0159 | 76.00s | horizon 20 | fallback 00 | train 4.075636e-04 | test 3.102788e-02
epoch 0160 | 108.41s | horizon 30 | fallback 00 | train 1.229304e-03 | test 3.574673e-02
epoch 0161 | 108.67s | horizon 30 | fallback 00 | train 1.112077e-03 | test 2.846698e-02
epoch 0162 | 109.52s | horizon 30 | fallback 00 | train 9.881524e-04 | test 3.241190e-02
epoch 0163 | 108.82s | horizon 30 | fallback 00 | train 1.016027e-03 | test 3.695070e-02
epoch 0164 | 109.51s | horizon 30 | fallback 00 | train 9.823957e-04 | test 7.592432e-02
epoch 0165 | 109.24s | horizon 30 | fallback 00 | train 1.419915e-03 | test 2.528093e-02
epoch 0166 | 109.32s | horizon 30 | fallback 00 | train 1.059766e-03 | test 3.700638e-02
epoch 0167 | 109.51s | horizon 30 | fallback 00 | train 8.472867e-04 | test 3.420313e-02
epoch 0168 | 109.98s | horizon 30 | fallback 00 | train 7.260790e-04 | test 4.035797e-02
epoch 0169 | 110.55s | horizon 30 | fallback 00 | train 7.363312e-04 | test 4.078832e-02
epoch 0170 | 108.50s | horizon 30 | fallback 00 | train 9.836294e-04 | test 3.908619e-02
epoch 0171 | 107.18s | horizon 30 | fallback 00 | train 9.072415e-04 | test 3.462240e-02
epoch 0172 | 108.51s | horizon 30 | fallback 00 | train 9.048959e-04 | test 4.404274e-02
epoch 0173 | 109.92s | horizon 30 | fallback 00 | train 9.395595e-04 | test 2.951121e-02
epoch 0174 | 109.59s | horizon 30 | fallback 00 | train 9.922529e-04 | test 5.381775e-02
epoch 0175 | 110.27s | horizon 30 | fallback 00 | train 9.841731e-04 | test 2.870171e-02
