nohup: ignoring input
epoch 0168 | 0.29s | horizon 01 | train 1.131410e-03 | test 4.560870e-02
epoch 0169 | 0.38s | horizon 01 | train 1.112014e-03 | test 4.526805e-02
epoch 0170 | 0.68s | horizon 01 | train 1.094294e-03 | test 4.735963e-02
epoch 0171 | 0.26s | horizon 01 | train 1.100021e-03 | test 4.678282e-02
epoch 0172 | 0.24s | horizon 01 | train 1.090807e-03 | test 4.471328e-02
epoch 0173 | 0.25s | horizon 01 | train 1.079679e-03 | test 4.463219e-02
epoch 0174 | 0.29s | horizon 01 | train 1.083680e-03 | test 4.522220e-02
epoch 0175 | 0.32s | horizon 01 | train 1.090251e-03 | test 4.585712e-02
epoch 0176 | 0.30s | horizon 01 | train 1.089222e-03 | test 4.604755e-02
epoch 0177 | 0.28s | horizon 01 | train 1.094185e-03 | test 5.541494e-02
epoch 0178 | 0.26s | horizon 01 | train 1.137695e-03 | test 5.008669e-02
epoch 0179 | 0.25s | horizon 01 | train 1.138722e-03 | test 4.431204e-02
epoch 0180 | 0.29s | horizon 01 | train 1.078182e-03 | test 4.506610e-02
epoch 0181 | 0.30s | horizon 01 | train 1.082873e-03 | test 4.574551e-02
epoch 0182 | 0.30s | horizon 01 | train 1.095095e-03 | test 4.568271e-02
epoch 0183 | 0.30s | horizon 01 | train 1.107312e-03 | test 4.766792e-02
epoch 0184 | 0.30s | horizon 01 | train 1.094621e-03 | test 4.560053e-02
epoch 0185 | 0.31s | horizon 01 | train 1.095181e-03 | test 4.471496e-02
epoch 0186 | 0.29s | horizon 01 | train 1.075168e-03 | test 4.880342e-02
epoch 0187 | 0.30s | horizon 01 | train 1.085161e-03 | test 4.866674e-02
epoch 0188 | 0.30s | horizon 01 | train 1.084536e-03 | test 4.406087e-02
epoch 0189 | 0.30s | horizon 01 | train 1.081577e-03 | test 4.679422e-02
epoch 0190 | 0.29s | horizon 01 | train 1.076328e-03 | test 4.507097e-02
epoch 0191 | 0.29s | horizon 01 | train 1.070836e-03 | test 4.431101e-02
epoch 0192 | 0.30s | horizon 01 | train 1.065427e-03 | test 4.446650e-02
epoch 0193 | 0.29s | horizon 01 | train 1.061826e-03 | test 4.819406e-02
epoch 0194 | 0.30s | horizon 01 | train 1.059164e-03 | test 4.383452e-02
epoch 0195 | 0.29s | horizon 01 | train 1.074453e-03 | test 4.974253e-02
epoch 0196 | 0.29s | horizon 01 | train 1.070058e-03 | test 4.384937e-02
epoch 0197 | 0.29s | horizon 01 | train 1.061890e-03 | test 4.488092e-02
