nohup: ignoring input
epoch 0270 | 109.23s | horizon 40 | train 1.853691e-02 | test 1.336599e-01
epoch 0271 | 110.46s | horizon 40 | train 1.832506e-02 | test 1.342624e-01
epoch 0272 | 111.70s | horizon 40 | train 1.834904e-02 | test 1.364589e-01
epoch 0273 | 109.46s | horizon 40 | train 1.812318e-02 | test 1.338717e-01
epoch 0274 | 110.64s | horizon 40 | train 1.796984e-02 | test 1.333638e-01
epoch 0275 | 110.68s | horizon 40 | train 1.811887e-02 | test 1.326042e-01
epoch 0276 | 109.33s | horizon 40 | train 1.820191e-02 | test 1.328801e-01
epoch 0277 | 108.20s | horizon 40 | train 1.809040e-02 | test 1.353419e-01
epoch 0278 | 109.56s | horizon 40 | train 1.821335e-02 | test 1.323926e-01
epoch 0279 | 110.02s | horizon 40 | train 1.792601e-02 | test 1.336930e-01
epoch 0280 | 119.42s | horizon 40 | train 1.799268e-02 | test 1.331507e-01
epoch 0281 | 112.50s | horizon 40 | train 1.784686e-02 | test 1.358574e-01
epoch 0282 | 112.16s | horizon 40 | train 1.807754e-02 | test 1.316929e-01
epoch 0283 | 111.01s | horizon 40 | train 1.785925e-02 | test 1.323656e-01
epoch 0284 | 110.70s | horizon 40 | train 1.788043e-02 | test 1.322474e-01
epoch 0285 | 108.37s | horizon 40 | train 1.759748e-02 | test 1.316820e-01
epoch 0286 | 110.76s | horizon 40 | train 1.755222e-02 | test 1.324302e-01
epoch 0287 | 109.19s | horizon 40 | train 1.762986e-02 | test 1.325495e-01
epoch 0288 | 109.72s | horizon 40 | train 1.759931e-02 | test 1.357677e-01
epoch 0289 | 108.26s | horizon 40 | train 1.748793e-02 | test 1.308935e-01
epoch 0290 | 108.60s | horizon 40 | train 1.750730e-02 | test 1.310675e-01
epoch 0291 | 110.69s | horizon 40 | train 1.745614e-02 | test 1.302788e-01
epoch 0292 | 110.73s | horizon 40 | train 1.744575e-02 | test 1.336732e-01
epoch 0293 | 109.19s | horizon 40 | train 1.735106e-02 | test 1.296625e-01
epoch 0294 | 110.95s | horizon 40 | train 1.725631e-02 | test 1.314166e-01
epoch 0295 | 108.85s | horizon 40 | train 1.721638e-02 | test 1.304430e-01
epoch 0296 | 109.35s | horizon 40 | train 1.762151e-02 | test 1.299131e-01
epoch 0297 | 107.96s | horizon 40 | train 1.709017e-02 | test 1.294867e-01
epoch 0298 | 107.70s | horizon 40 | train 1.717801e-02 | test 1.313015e-01
epoch 0299 | 108.82s | horizon 40 | train 1.703173e-02 | test 1.295522e-01
epoch 0300 | 109.95s | horizon 40 | train 1.680703e-02 | test 1.285981e-01
epoch 0301 | 111.76s | horizon 40 | train 1.674861e-02 | test 1.284526e-01
epoch 0302 | 109.16s | horizon 40 | train 1.673068e-02 | test 1.294148e-01
epoch 0303 | 110.88s | horizon 40 | train 1.666243e-02 | test 1.282537e-01
epoch 0304 | 110.09s | horizon 40 | train 1.661184e-02 | test 1.279276e-01
epoch 0305 | 110.54s | horizon 40 | train 1.665275e-02 | test 1.279908e-01
epoch 0306 | 107.72s | horizon 40 | train 1.654507e-02 | test 1.290813e-01
epoch 0307 | 110.43s | horizon 40 | train 1.653830e-02 | test 1.276942e-01
epoch 0308 | 110.89s | horizon 40 | train 1.651905e-02 | test 1.277571e-01
epoch 0309 | 110.47s | horizon 40 | train 1.647180e-02 | test 1.272166e-01
epoch 0310 | 111.05s | horizon 40 | train 1.646483e-02 | test 1.276252e-01
epoch 0311 | 109.87s | horizon 40 | train 1.642358e-02 | test 1.269749e-01
epoch 0312 | 105.76s | horizon 40 | train 1.635214e-02 | test 1.292342e-01
epoch 0313 | 114.36s | horizon 40 | train 1.636211e-02 | test 1.269760e-01
epoch 0314 | 112.56s | horizon 40 | train 1.633187e-02 | test 1.269833e-01
epoch 0315 | 108.08s | horizon 40 | train 1.633572e-02 | test 1.265277e-01
epoch 0316 | 107.72s | horizon 40 | train 1.632545e-02 | test 1.271410e-01
epoch 0317 | 107.35s | horizon 40 | train 1.629990e-02 | test 1.265670e-01
epoch 0318 | 107.46s | horizon 40 | train 1.616796e-02 | test 1.265282e-01
epoch 0319 | 108.51s | horizon 40 | train 1.612348e-02 | test 1.263389e-01
epoch 0320 | 104.09s | horizon 40 | train 1.614696e-02 | test 1.259053e-01
