nohup: ignoring input
epoch 0098 | 34.64s | horizon 10 | fallback 00 | train 9.373412e-02 | test 4.702993e-01
epoch 0099 | 34.43s | horizon 10 | fallback 00 | train 9.279282e-02 | test 4.642254e-01
epoch 0100 | 34.29s | horizon 10 | fallback 00 | train 8.939662e-02 | test 4.811471e-01
epoch 0101 | 35.26s | horizon 10 | fallback 00 | train 8.873045e-02 | test 4.772689e-01
epoch 0102 | 34.84s | horizon 10 | fallback 00 | train 8.767420e-02 | test 4.509870e-01
epoch 0103 | 35.39s | horizon 10 | fallback 00 | train 8.598114e-02 | test 4.778584e-01
epoch 0104 | 34.46s | horizon 10 | fallback 00 | train 8.589675e-02 | test 4.655650e-01
epoch 0105 | 34.18s | horizon 10 | fallback 00 | train 8.468645e-02 | test 4.551316e-01
epoch 0106 | 34.62s | horizon 10 | fallback 00 | train 8.513681e-02 | test 4.794179e-01
epoch 0107 | 34.30s | horizon 10 | fallback 00 | train 8.478409e-02 | test 4.689914e-01
epoch 0108 | 33.98s | horizon 10 | fallback 00 | train 8.366965e-02 | test 4.558488e-01
epoch 0109 | 34.26s | horizon 10 | fallback 00 | train 8.322564e-02 | test 4.987143e-01
epoch 0110 | 34.50s | horizon 10 | fallback 00 | train 8.255622e-02 | test 4.836722e-01
epoch 0111 | 33.96s | horizon 10 | fallback 00 | train 8.229244e-02 | test 4.497664e-01
epoch 0112 | 34.26s | horizon 10 | fallback 00 | train 8.227580e-02 | test 4.882937e-01
epoch 0113 | 34.67s | horizon 10 | fallback 00 | train 8.135123e-02 | test 4.823872e-01
epoch 0114 | 34.43s | horizon 10 | fallback 00 | train 8.056266e-02 | test 4.791711e-01
epoch 0115 | 34.43s | horizon 10 | fallback 00 | train 8.113837e-02 | test 4.732384e-01
epoch 0116 | 34.64s | horizon 10 | fallback 00 | train 7.974949e-02 | test 4.505719e-01
epoch 0117 | 34.00s | horizon 10 | fallback 00 | train 8.004603e-02 | test 4.814691e-01
epoch 0118 | 33.98s | horizon 10 | fallback 00 | train 7.936572e-02 | test 4.592350e-01
epoch 0119 | 34.92s | horizon 10 | fallback 00 | train 7.932417e-02 | test 4.747081e-01
epoch 0120 | 61.90s | horizon 20 | fallback 00 | train 4.496340e-01 | test 3.570941e-01
epoch 0121 | 61.63s | horizon 20 | fallback 00 | train 3.874271e-01 | test 4.009311e-01
epoch 0122 | 62.01s | horizon 20 | fallback 00 | train 3.765434e-01 | test 3.472824e-01
epoch 0123 | 61.15s | horizon 20 | fallback 00 | train 3.573561e-01 | test 3.341359e-01
epoch 0124 | 61.49s | horizon 20 | fallback 00 | train 3.539555e-01 | test 3.291518e-01
epoch 0125 | 62.12s | horizon 20 | fallback 00 | train 3.449012e-01 | test 3.374952e-01
epoch 0126 | 61.44s | horizon 20 | fallback 00 | train 3.350353e-01 | test 3.300026e-01
epoch 0127 | 61.96s | horizon 20 | fallback 00 | train 3.285604e-01 | test 3.245270e-01
epoch 0128 | 61.90s | horizon 20 | fallback 00 | train 3.295881e-01 | test 3.233619e-01
epoch 0129 | 61.77s | horizon 20 | fallback 00 | train 3.248236e-01 | test 3.254294e-01
epoch 0130 | 61.96s | horizon 20 | fallback 00 | train 3.195859e-01 | test 3.254042e-01
epoch 0131 | 63.73s | horizon 20 | fallback 00 | train 3.230844e-01 | test 3.529189e-01
epoch 0132 | 61.75s | horizon 20 | fallback 00 | train 3.216899e-01 | test 3.242773e-01
epoch 0133 | 61.40s | horizon 20 | fallback 00 | train 3.121539e-01 | test 3.244909e-01
epoch 0134 | 61.42s | horizon 20 | fallback 00 | train 3.298527e-01 | test 3.197841e-01
epoch 0135 | 61.32s | horizon 20 | fallback 00 | train 3.163633e-01 | test 3.175350e-01
epoch 0136 | 61.39s | horizon 20 | fallback 00 | train 3.153568e-01 | test 3.205809e-01
epoch 0137 | 62.26s | horizon 20 | fallback 00 | train 3.148260e-01 | test 3.294312e-01
epoch 0138 | 62.28s | horizon 20 | fallback 00 | train 3.129633e-01 | test 3.208605e-01
epoch 0139 | 62.49s | horizon 20 | fallback 00 | train 3.096458e-01 | test 3.200381e-01
epoch 0140 | 61.09s | horizon 20 | fallback 00 | train 3.180448e-01 | test 3.172376e-01
epoch 0141 | 60.95s | horizon 20 | fallback 00 | train 3.122643e-01 | test 3.308333e-01
epoch 0142 | 61.21s | horizon 20 | fallback 00 | train 3.160327e-01 | test 3.231431e-01
epoch 0143 | 62.71s | horizon 20 | fallback 00 | train 3.023954e-01 | test 3.151997e-01
epoch 0144 | 62.12s | horizon 20 | fallback 00 | train 3.009528e-01 | test 3.222484e-01
epoch 0145 | 61.87s | horizon 20 | fallback 00 | train 3.011331e-01 | test 3.229344e-01
epoch 0146 | 61.41s | horizon 20 | fallback 00 | train 2.993936e-01 | test 3.197858e-01
epoch 0147 | 61.85s | horizon 20 | fallback 00 | train 2.981130e-01 | test 3.193193e-01
epoch 0148 | 61.54s | horizon 20 | fallback 00 | train 3.021767e-01 | test 3.345850e-01
epoch 0149 | 62.23s | horizon 20 | fallback 00 | train 2.999030e-01 | test 3.133908e-01
epoch 0150 | 60.68s | horizon 20 | fallback 00 | train 3.036360e-01 | test 3.318170e-01
epoch 0151 | 60.80s | horizon 20 | fallback 00 | train 3.046940e-01 | test 3.123926e-01
epoch 0152 | 61.33s | horizon 20 | fallback 00 | train 3.010056e-01 | test 3.136575e-01
epoch 0153 | 61.00s | horizon 20 | fallback 00 | train 3.084422e-01 | test 3.192382e-01
epoch 0154 | 60.85s | horizon 20 | fallback 00 | train 3.063789e-01 | test 3.205855e-01
epoch 0155 | 60.30s | horizon 20 | fallback 00 | train 2.980580e-01 | test 3.362177e-01
epoch 0156 | 59.51s | horizon 20 | fallback 00 | train 2.988360e-01 | test 3.175475e-01
epoch 0157 | 60.08s | horizon 20 | fallback 00 | train 2.994776e-01 | test 3.146781e-01
epoch 0158 | 59.84s | horizon 20 | fallback 00 | train 3.011648e-01 | test 3.172542e-01
epoch 0159 | 61.03s | horizon 20 | fallback 00 | train 2.963616e-01 | test 3.351838e-01
epoch 0160 | 60.24s | horizon 20 | fallback 00 | train 2.941194e-01 | test 3.195506e-01
epoch 0161 | 60.55s | horizon 20 | fallback 00 | train 2.953928e-01 | test 3.179029e-01
epoch 0162 | 59.59s | horizon 20 | fallback 00 | train 2.958985e-01 | test 3.115510e-01
