epoch,seconds,horizon,fallback_batches,train_loss,train_pred_mse,val_full_rel_l2,test_full_rel_l2,lr,params
89,44.342612,10,0,2.04671022e-04,1.35512513e-04,,8.87024263e-02,5.00000000e-05,745342
90,45.378950,10,0,2.04519299e-04,1.36140987e-04,,4.59239416e-02,5.00000000e-05,745342
91,44.491884,10,0,2.20388779e-04,1.51832134e-04,,1.01922133e-01,5.00000000e-05,745342
92,44.377679,10,0,2.13478062e-04,1.44065966e-04,,5.59707853e-02,5.00000000e-05,745342
93,43.540600,10,0,2.15970723e-04,1.46452897e-04,,7.07229015e-02,5.00000000e-05,745342
94,43.174745,10,0,2.05344813e-04,1.36026107e-04,,5.67925292e-02,5.00000000e-05,745342
95,43.284951,10,0,1.98724967e-04,1.30261482e-04,,5.32615355e-02,5.00000000e-05,745342
96,43.312316,10,0,2.21677220e-04,1.52883325e-04,,7.43996888e-02,5.00000000e-05,745342
97,45.572184,10,0,2.16876467e-04,1.47200609e-04,,4.67321779e-02,5.00000000e-05,745342
98,44.670812,10,0,2.08538003e-04,1.38983820e-04,,4.56848964e-02,5.00000000e-05,745342
99,45.267518,10,0,2.07407641e-04,1.37783716e-04,,6.71820647e-02,2.50000000e-05,745342
100,45.788174,10,0,1.87269159e-04,1.18809304e-04,,6.58945236e-02,2.50000000e-05,745342
101,45.052443,10,0,1.86615466e-04,1.19118149e-04,,5.15040246e-02,2.50000000e-05,745342
102,44.038291,10,0,1.81544171e-04,1.15312099e-04,,4.81752490e-02,2.50000000e-05,745342
103,42.519172,10,0,1.79302520e-04,1.14172185e-04,,4.70874563e-02,2.50000000e-05,745342
104,44.272870,10,0,1.77472846e-04,1.13291042e-04,,4.89911145e-02,2.50000000e-05,745342
105,45.079969,10,0,1.76421292e-04,1.12997501e-04,,5.19889328e-02,2.50000000e-05,745342
106,45.242738,10,0,1.73037149e-04,1.10367090e-04,,4.88099557e-02,2.50000000e-05,745342
107,43.822014,10,0,1.72874929e-04,1.10970286e-04,,4.93931341e-02,2.50000000e-05,745342
108,45.073867,10,0,1.71662620e-04,1.10282385e-04,,6.05244198e-02,2.50000000e-05,745342
109,43.847741,10,0,1.69253110e-04,1.08511175e-04,,6.12356845e-02,2.50000000e-05,745342
110,44.358091,10,0,1.67707072e-04,1.07560141e-04,,5.27386178e-02,2.50000000e-05,745342
111,45.216176,10,0,1.70061917e-04,1.10213267e-04,,5.30953212e-02,2.50000000e-05,745342
112,44.653392,10,0,1.66452014e-04,1.07050349e-04,,4.95012438e-02,2.50000000e-05,745342
113,42.635184,10,0,1.67942438e-04,1.08822668e-04,,6.88429838e-02,2.50000000e-05,745342
114,43.158697,10,0,1.67563249e-04,1.08606610e-04,,5.69540432e-02,2.50000000e-05,745342
115,43.094099,10,0,1.65225839e-04,1.06569738e-04,,5.18083376e-02,2.50000000e-05,745342
116,44.150429,10,0,1.64606841e-04,1.06280659e-04,,5.07610442e-02,2.50000000e-05,745342
117,43.702325,10,0,1.63160155e-04,1.05162705e-04,,6.06503114e-02,2.50000000e-05,745342
118,41.848996,10,0,1.62270501e-04,1.04647847e-04,,6.57039428e-02,2.50000000e-05,745342
119,42.918691,10,0,1.62202733e-04,1.04812933e-04,,6.75043979e-02,2.50000000e-05,745342
120,79.283167,20,0,5.48736384e-04,4.99224135e-04,,4.09046175e-02,2.50000000e-05,745342
121,78.156736,20,0,4.27327489e-04,3.75892821e-04,,4.76694585e-02,2.50000000e-05,745342
122,77.804670,20,0,3.92666489e-04,3.40495456e-04,,7.65740722e-02,2.50000000e-05,745342
123,78.845696,20,0,3.60658298e-04,3.06177009e-04,,5.51466641e-02,2.50000000e-05,745342
124,77.862689,20,0,3.26321920e-04,2.70228694e-04,,4.61711787e-02,2.50000000e-05,745342
125,78.494387,20,0,2.70680466e-04,2.12842397e-04,,3.58648421e-02,2.50000000e-05,745342
126,78.540158,20,0,3.67944163e-04,3.07243016e-04,,3.67332558e-02,2.50000000e-05,745342
127,78.648728,20,0,4.35421206e-04,3.70530098e-04,,7.39577386e-02,2.50000000e-05,745342
128,78.676351,20,0,3.09119251e-04,2.43204747e-04,,3.88837488e-02,2.50000000e-05,745342
129,77.193188,20,0,3.80045484e-04,3.11490748e-04,,3.24059430e-02,2.50000000e-05,745342
130,77.294236,20,0,3.01087011e-04,2.31729435e-04,,3.64415631e-02,2.50000000e-05,745342
131,76.817798,20,0,2.71229901e-04,2.00235881e-04,,3.98407561e-02,2.50000000e-05,745342
132,77.245939,20,0,2.92321540e-04,2.18589680e-04,,3.15024929e-02,2.50000000e-05,745342
133,76.693938,20,0,3.29862053e-04,2.54185897e-04,,3.12418905e-02,2.50000000e-05,745342
134,75.827910,20,0,3.18523690e-04,2.40210852e-04,,3.16527091e-02,2.50000000e-05,745342
135,76.947502,20,0,3.29331074e-04,2.47980659e-04,,3.15980405e-02,2.50000000e-05,745342
136,78.365630,20,0,3.06583217e-04,2.24052467e-04,,4.38624856e-02,2.50000000e-05,745342
137,80.246086,20,0,3.27825276e-04,2.43391757e-04,,3.68262270e-02,2.50000000e-05,745342
138,77.419791,20,0,3.52298228e-04,2.65760845e-04,,2.78431901e-02,2.50000000e-05,745342
139,76.811067,20,0,3.10844796e-04,2.23679597e-04,,3.25530712e-02,2.50000000e-05,745342
140,75.046046,20,0,3.32051239e-04,2.43067783e-04,,4.10275248e-02,2.50000000e-05,745342
141,77.228939,20,0,3.82650571e-04,2.91540649e-04,,3.62147899e-02,2.50000000e-05,745342
142,77.611174,20,0,3.75947640e-04,2.83801250e-04,,3.29130454e-02,2.50000000e-05,745342
143,78.557021,20,0,3.46900776e-04,2.54300352e-04,,3.55780435e-02,2.50000000e-05,745342
144,76.830081,20,0,4.22295069e-04,3.27224771e-04,,3.60013096e-02,2.50000000e-05,745342
145,77.030369,20,0,3.32775305e-04,2.38465938e-04,,2.87303923e-02,2.50000000e-05,745342
146,76.851400,20,0,3.33738301e-04,2.38417087e-04,,4.18411024e-02,2.50000000e-05,745342
147,78.293331,20,0,4.17029986e-04,3.19024614e-04,,4.01544103e-02,2.50000000e-05,745342
148,77.789469,20,0,3.67028125e-04,2.68874974e-04,,5.14757508e-02,2.50000000e-05,745342
149,79.107140,20,0,3.83960842e-04,2.84410124e-04,,4.93384922e-02,2.50000000e-05,745342
150,76.203483,20,0,4.22917284e-04,3.20605101e-04,,4.92213750e-02,2.50000000e-05,745342
151,76.814519,20,0,4.55539209e-04,3.50100841e-04,,3.24210265e-02,2.50000000e-05,745342
152,75.158601,20,0,3.75309370e-04,2.70342890e-04,,4.99760501e-02,2.50000000e-05,745342
153,77.226615,20,0,3.74867889e-04,2.68696990e-04,,5.12934950e-02,2.50000000e-05,745342
154,77.148295,20,0,4.33690849e-04,3.25077575e-04,,2.79398936e-02,2.50000000e-05,745342
155,75.007348,20,0,3.51934660e-04,2.43684367e-04,,2.84361766e-02,2.50000000e-05,745342
156,73.091464,20,0,3.61649922e-04,2.51805436e-04,,2.96718237e-02,2.50000000e-05,745342
157,75.632770,20,0,4.03961032e-04,2.91757408e-04,,6.61794418e-02,2.50000000e-05,745342
158,74.846537,20,0,4.40960158e-04,3.26178887e-04,,3.69019003e-02,2.50000000e-05,745342
159,75.996550,20,0,4.07563601e-04,2.92090154e-04,,3.10278833e-02,2.50000000e-05,745342
160,108.407900,30,0,1.22930388e-03,1.10820252e-03,,3.57467283e-02,2.50000000e-05,745342
