nohup: ignoring input
epoch 0144 | 112.05s | horizon 40 | train 2.062366e-02 | val 1.93475436e-02
epoch 0145 | 114.07s | horizon 40 | train 2.807078e-02 | val 3.59749614e-02
epoch 0146 | 111.83s | horizon 40 | train 2.777272e-02 | val 2.18688095e-02
epoch 0147 | 113.49s | horizon 40 | train 2.479430e-02 | val 2.16835980e-02
epoch 0148 | 114.33s | horizon 40 | train 2.882591e-02 | val 3.56568418e-02
epoch 0149 | 113.04s | horizon 40 | train 3.092924e-02 | val 3.82874988e-02
epoch 0150 | 111.10s | horizon 40 | train 3.048191e-02 | val 3.57648377e-02
epoch 0151 | 111.23s | horizon 40 | train 2.994454e-02 | val 3.58720857e-02
epoch 0152 | 111.25s | horizon 40 | train 2.963969e-02 | val 4.53610322e-02
epoch 0153 | 112.29s | horizon 40 | train 2.707219e-02 | val 2.76993950e-02
epoch 0154 | 111.35s | horizon 40 | train 2.439015e-02 | val 2.01421052e-02
epoch 0155 | 109.69s | horizon 40 | train 1.968925e-02 | val 1.87234934e-02
epoch 0156 | 111.93s | horizon 40 | train 1.827228e-02 | val 2.55231778e-02
epoch 0157 | 111.82s | horizon 40 | train 1.963788e-02 | val 1.91391705e-02
epoch 0158 | 113.63s | horizon 40 | train 1.912767e-02 | val 2.08865464e-02
epoch 0159 | 112.13s | horizon 40 | train 1.922048e-02 | val 1.85320687e-02
epoch 0160 | 112.08s | horizon 40 | train 1.928698e-02 | val 1.94469491e-02
epoch 0161 | 110.56s | horizon 40 | train 2.494414e-02 | val 4.10681891e-02
epoch 0162 | 113.17s | horizon 40 | train 2.794926e-02 | val 1.98895504e-02
epoch 0163 | 108.53s | horizon 40 | train 2.814640e-02 | val 3.03992671e-02
epoch 0164 | 113.53s | horizon 40 | train 2.286641e-02 | val 2.66512247e-02
epoch 0165 | 113.61s | horizon 40 | train 2.290393e-02 | val 2.83868024e-02
epoch 0166 | 113.00s | horizon 40 | train 2.282965e-02 | val 2.66375384e-02
epoch 0167 | 114.19s | horizon 40 | train 2.200392e-02 | val 2.19700876e-02
epoch 0168 | 113.95s | horizon 40 | train 2.911447e-02 | val 1.98332050e-02
epoch 0169 | 114.22s | horizon 40 | train 2.299998e-02 | val 1.93026952e-02
epoch 0170 | 112.35s | horizon 40 | train 2.251606e-02 | val 1.96998405e-02
