nohup: ignoring input
epoch 0159 | 0.20s | horizon 01 | train 1.422364e-02 | val 1.43169618e-02
epoch 0160 | 0.21s | horizon 01 | train 1.290446e-02 | val 1.52801239e-02
epoch 0161 | 0.21s | horizon 01 | train 1.327857e-02 | val 1.21920967e-02
epoch 0162 | 0.21s | horizon 01 | train 1.102602e-02 | val 1.14820540e-02
epoch 0163 | 0.21s | horizon 01 | train 1.028199e-02 | val 1.37953421e-02
epoch 0164 | 0.21s | horizon 01 | train 1.157425e-02 | val 1.23068714e-02
epoch 0165 | 0.20s | horizon 01 | train 1.199042e-02 | val 1.30768955e-02
epoch 0166 | 0.20s | horizon 01 | train 1.136064e-02 | val 1.21387732e-02
epoch 0167 | 0.20s | horizon 01 | train 1.151305e-02 | val 1.22947922e-02
epoch 0168 | 0.25s | horizon 01 | train 1.134449e-02 | val 1.20601702e-02
epoch 0169 | 0.20s | horizon 01 | train 1.072363e-02 | val 1.12962291e-02
epoch 0170 | 0.20s | horizon 01 | train 9.785689e-03 | val 1.04981145e-02
epoch 0171 | 0.19s | horizon 01 | train 1.002680e-02 | val 1.09678668e-02
epoch 0172 | 0.18s | horizon 01 | train 1.003207e-02 | val 1.03300089e-02
epoch 0173 | 0.18s | horizon 01 | train 9.868641e-03 | val 1.10002083e-02
epoch 0174 | 0.18s | horizon 01 | train 1.081698e-02 | val 1.09206462e-02
epoch 0175 | 0.18s | horizon 01 | train 1.029852e-02 | val 1.17028418e-02
epoch 0176 | 0.18s | horizon 01 | train 1.063814e-02 | val 1.35694504e-02
epoch 0177 | 0.18s | horizon 01 | train 1.162047e-02 | val 1.16951174e-02
epoch 0178 | 0.19s | horizon 01 | train 1.121984e-02 | val 1.11533052e-02
epoch 0179 | 0.18s | horizon 01 | train 1.065771e-02 | val 1.57942730e-02
epoch 0180 | 0.18s | horizon 01 | train 1.595608e-02 | val 1.56336027e-02
epoch 0181 | 0.18s | horizon 01 | train 1.316049e-02 | val 1.28065011e-02
epoch 0182 | 0.18s | horizon 01 | train 1.137395e-02 | val 1.11570266e-02
epoch 0183 | 0.19s | horizon 01 | train 1.054717e-02 | val 1.15714186e-02
epoch 0184 | 0.19s | horizon 01 | train 1.042135e-02 | val 1.06691754e-02
epoch 0185 | 0.19s | horizon 01 | train 1.086701e-02 | val 1.22561350e-02
epoch 0186 | 0.19s | horizon 01 | train 1.173831e-02 | val 1.52787215e-02
epoch 0187 | 0.19s | horizon 01 | train 1.177056e-02 | val 1.14736792e-02
epoch 0188 | 0.19s | horizon 01 | train 1.118000e-02 | val 1.18547463e-02
epoch 0189 | 0.22s | horizon 01 | train 1.068028e-02 | val 1.24692318e-02
epoch 0190 | 0.24s | horizon 01 | train 1.115119e-02 | val 1.33798561e-02
epoch 0191 | 0.22s | horizon 01 | train 1.233186e-02 | val 1.28771839e-02
epoch 0192 | 0.21s | horizon 01 | train 1.250615e-02 | val 1.40940875e-02
epoch 0193 | 0.21s | horizon 01 | train 1.207394e-02 | val 1.40503764e-02
epoch 0194 | 0.21s | horizon 01 | train 1.164344e-02 | val 1.23044994e-02
epoch 0195 | 0.21s | horizon 01 | train 1.084017e-02 | val 1.19049770e-02
epoch 0196 | 0.21s | horizon 01 | train 1.077066e-02 | val 1.31605080e-02
epoch 0197 | 0.21s | horizon 01 | train 1.124204e-02 | val 1.37709320e-02
epoch 0198 | 0.21s | horizon 01 | train 1.245219e-02 | val 1.47734445e-02
epoch 0199 | 0.21s | horizon 01 | train 1.536805e-02 | val 1.92420363e-02
epoch 0200 | 0.21s | horizon 01 | train 1.340387e-02 | val 1.39629549e-02
epoch 0201 | 0.20s | horizon 01 | train 1.144248e-02 | val 1.15723816e-02
epoch 0202 | 0.20s | horizon 01 | train 1.030388e-02 | val 9.89411950e-03
epoch 0203 | 0.20s | horizon 01 | train 9.706364e-03 | val 1.01476353e-02
epoch 0204 | 0.19s | horizon 01 | train 9.259278e-03 | val 1.00895768e-02
epoch 0205 | 0.20s | horizon 01 | train 9.382921e-03 | val 9.83965933e-03
epoch 0206 | 0.22s | horizon 01 | train 9.234080e-03 | val 9.62934554e-03
