nohup: ignoring input
epoch 0145 | 0.29s | horizon 01 | train 9.314427e-03 | val n/a
epoch 0146 | 0.27s | horizon 01 | train 9.348829e-03 | val n/a
epoch 0147 | 0.25s | horizon 01 | train 9.656104e-03 | val n/a
epoch 0148 | 0.25s | horizon 01 | train 9.270840e-03 | val n/a
epoch 0149 | 0.27s | horizon 01 | train 9.209576e-03 | val n/a
epoch 0150 | 0.32s | horizon 01 | train 9.514671e-03 | val n/a
epoch 0151 | 0.25s | horizon 01 | train 9.522463e-03 | val n/a
epoch 0152 | 0.23s | horizon 01 | train 9.369565e-03 | val n/a
epoch 0153 | 0.33s | horizon 01 | train 9.783185e-03 | val n/a
epoch 0154 | 0.23s | horizon 01 | train 9.536975e-03 | val n/a
epoch 0155 | 0.27s | horizon 01 | train 9.356966e-03 | val n/a
epoch 0156 | 0.25s | horizon 01 | train 9.892669e-03 | val n/a
epoch 0157 | 0.24s | horizon 01 | train 1.102064e-02 | val n/a
epoch 0158 | 0.27s | horizon 01 | train 9.455495e-03 | val n/a
epoch 0159 | 0.24s | horizon 01 | train 1.072866e-02 | val n/a
epoch 0160 | 0.25s | horizon 01 | train 1.037232e-02 | val n/a
epoch 0161 | 0.26s | horizon 01 | train 9.288738e-03 | val n/a
epoch 0162 | 0.29s | horizon 01 | train 9.510410e-03 | val n/a
epoch 0163 | 0.21s | horizon 01 | train 9.705046e-03 | val n/a
epoch 0164 | 0.27s | horizon 01 | train 1.042722e-02 | val n/a
epoch 0165 | 0.26s | horizon 01 | train 1.020431e-02 | val n/a
epoch 0166 | 0.23s | horizon 01 | train 1.015578e-02 | val n/a
epoch 0167 | 0.29s | horizon 01 | train 1.038857e-02 | val n/a
epoch 0168 | 0.25s | horizon 01 | train 1.054935e-02 | val n/a
epoch 0169 | 0.23s | horizon 01 | train 1.005379e-02 | val n/a
epoch 0170 | 0.31s | horizon 01 | train 9.786052e-03 | val n/a
epoch 0171 | 0.32s | horizon 01 | train 9.572060e-03 | val n/a
epoch 0172 | 0.54s | horizon 01 | train 1.049433e-02 | val n/a
epoch 0173 | 0.23s | horizon 01 | train 9.604980e-03 | val n/a
epoch 0174 | 0.24s | horizon 01 | train 9.728337e-03 | val n/a
epoch 0175 | 0.32s | horizon 01 | train 9.818681e-03 | val n/a
epoch 0176 | 0.28s | horizon 01 | train 9.406056e-03 | val n/a
epoch 0177 | 0.39s | horizon 01 | train 9.382138e-03 | val n/a
epoch 0178 | 0.56s | horizon 01 | train 9.920564e-03 | val n/a
epoch 0179 | 0.47s | horizon 01 | train 1.159097e-02 | val n/a
epoch 0180 | 0.25s | horizon 01 | train 1.260347e-02 | val n/a
epoch 0181 | 0.40s | horizon 01 | train 1.123377e-02 | val n/a
epoch 0182 | 0.26s | horizon 01 | train 1.198664e-02 | val n/a
epoch 0183 | 0.26s | horizon 01 | train 1.339064e-02 | val n/a
epoch 0184 | 0.25s | horizon 01 | train 1.367020e-02 | val n/a
epoch 0185 | 0.30s | horizon 01 | train 1.128718e-02 | val n/a
epoch 0186 | 0.29s | horizon 01 | train 1.014597e-02 | val n/a
epoch 0187 | 0.26s | horizon 01 | train 1.027660e-02 | val n/a
epoch 0188 | 0.24s | horizon 01 | train 1.193264e-02 | val n/a
epoch 0189 | 0.25s | horizon 01 | train 1.384893e-02 | val n/a
epoch 0190 | 0.29s | horizon 01 | train 1.569190e-02 | val n/a
epoch 0191 | 0.27s | horizon 01 | train 1.486939e-02 | val n/a
epoch 0192 | 0.37s | horizon 01 | train 1.320420e-02 | val n/a
epoch 0193 | 0.27s | horizon 01 | train 1.115897e-02 | val n/a
epoch 0194 | 0.32s | horizon 01 | train 1.045813e-02 | val n/a
epoch 0195 | 0.30s | horizon 01 | train 1.056616e-02 | val n/a
epoch 0196 | 0.40s | horizon 01 | train 1.003056e-02 | val n/a
epoch 0197 | 0.32s | horizon 01 | train 1.029120e-02 | val n/a
epoch 0198 | 0.33s | horizon 01 | train 9.822473e-03 | val n/a
epoch 0199 | 0.29s | horizon 01 | train 9.826528e-03 | val n/a
epoch 0200 | 0.25s | horizon 01 | train 8.735123e-03 | val n/a
epoch 0201 | 0.26s | horizon 01 | train 8.213036e-03 | val n/a
epoch 0202 | 0.28s | horizon 01 | train 7.992225e-03 | val n/a
epoch 0203 | 0.27s | horizon 01 | train 7.934675e-03 | val n/a
epoch 0204 | 0.28s | horizon 01 | train 8.151695e-03 | val n/a
epoch 0205 | 0.30s | horizon 01 | train 8.204899e-03 | val n/a
epoch 0206 | 0.35s | horizon 01 | train 8.039273e-03 | val n/a
epoch 0207 | 0.28s | horizon 01 | train 7.886803e-03 | val n/a
epoch 0208 | 0.25s | horizon 01 | train 7.929985e-03 | val n/a
epoch 0209 | 0.28s | horizon 01 | train 7.972106e-03 | val n/a
epoch 0210 | 0.25s | horizon 01 | train 8.018673e-03 | val n/a
epoch 0211 | 0.26s | horizon 01 | train 8.093954e-03 | val n/a
epoch 0212 | 0.25s | horizon 01 | train 8.365011e-03 | val n/a
