nohup: ignoring input
epoch 0115 | 157.36s | horizon 40 | train 2.696464e-02 | val n/a
epoch 0116 | 158.36s | horizon 40 | train 2.686055e-02 | val n/a
epoch 0117 | 158.59s | horizon 40 | train 2.696415e-02 | val n/a
epoch 0118 | 158.92s | horizon 40 | train 3.589456e-02 | val n/a
epoch 0119 | 158.19s | horizon 40 | train 4.295213e-02 | val n/a
epoch 0120 | 158.67s | horizon 40 | train 4.031247e-02 | val n/a
epoch 0121 | 157.49s | horizon 40 | train 4.004310e-02 | val n/a
epoch 0122 | 158.59s | horizon 40 | train 3.798598e-02 | val n/a
epoch 0123 | 159.19s | horizon 40 | train 2.471287e-02 | val n/a
epoch 0124 | 161.17s | horizon 40 | train 2.395537e-02 | val n/a
epoch 0125 | 159.19s | horizon 40 | train 2.382332e-02 | val n/a
epoch 0126 | 159.54s | horizon 40 | train 2.357189e-02 | val n/a
epoch 0127 | 156.46s | horizon 40 | train 2.341465e-02 | val n/a
epoch 0128 | 159.90s | horizon 40 | train 2.347635e-02 | val n/a
epoch 0129 | 158.65s | horizon 40 | train 4.104206e-02 | val n/a
epoch 0130 | 157.38s | horizon 40 | train 2.823436e-02 | val n/a
epoch 0131 | 162.56s | horizon 40 | train 2.777977e-02 | val n/a
epoch 0132 | 160.81s | horizon 40 | train 2.753183e-02 | val n/a
epoch 0133 | 159.13s | horizon 40 | train 2.720971e-02 | val n/a
epoch 0134 | 158.43s | horizon 40 | train 2.677540e-02 | val n/a
epoch 0135 | 156.10s | horizon 40 | train 2.664274e-02 | val n/a
epoch 0136 | 159.67s | horizon 40 | train 2.633146e-02 | val n/a
epoch 0137 | 160.80s | horizon 40 | train 2.635688e-02 | val n/a
epoch 0138 | 160.32s | horizon 40 | train 2.603984e-02 | val n/a
epoch 0139 | 160.25s | horizon 40 | train 2.609810e-02 | val n/a
epoch 0140 | 158.52s | horizon 40 | train 3.639879e-02 | val n/a
epoch 0141 | 160.21s | horizon 40 | train 2.667331e-02 | val n/a
epoch 0142 | 161.30s | horizon 40 | train 2.423130e-02 | val n/a
epoch 0143 | 160.39s | horizon 40 | train 2.462400e-02 | val n/a
epoch 0144 | 159.17s | horizon 40 | train 2.938910e-02 | val n/a
epoch 0145 | 160.26s | horizon 40 | train 2.874083e-02 | val n/a
epoch 0146 | 160.19s | horizon 40 | train 2.847186e-02 | val n/a
epoch 0147 | 160.26s | horizon 40 | train 2.827312e-02 | val n/a
epoch 0148 | 157.98s | horizon 40 | train 2.826945e-02 | val n/a
epoch 0149 | 158.98s | horizon 40 | train 2.798075e-02 | val n/a
epoch 0150 | 158.12s | horizon 40 | train 2.780240e-02 | val n/a
epoch 0151 | 160.69s | horizon 40 | train 2.773913e-02 | val n/a
epoch 0152 | 160.98s | horizon 40 | train 2.729725e-02 | val n/a
epoch 0153 | 158.11s | horizon 40 | train 2.695520e-02 | val n/a
epoch 0154 | 160.43s | horizon 40 | train 2.729667e-02 | val n/a
epoch 0155 | 161.03s | horizon 40 | train 2.701131e-02 | val n/a
epoch 0156 | 163.59s | horizon 40 | train 2.749622e-02 | val n/a
epoch 0157 | 161.42s | horizon 40 | train 2.605185e-02 | val n/a
epoch 0158 | 160.14s | horizon 40 | train 2.584452e-02 | val n/a
epoch 0159 | 159.54s | horizon 40 | train 2.557745e-02 | val n/a
epoch 0160 | 159.73s | horizon 40 | train 2.518999e-02 | val n/a
epoch 0161 | 160.27s | horizon 40 | train 2.493190e-02 | val n/a
epoch 0162 | 159.58s | horizon 40 | train 2.884659e-02 | val n/a
epoch 0163 | 157.45s | horizon 40 | train 2.483391e-02 | val n/a
epoch 0164 | 159.31s | horizon 40 | train 2.404412e-02 | val n/a
epoch 0165 | 160.74s | horizon 40 | train 2.397035e-02 | val n/a
epoch 0166 | 159.37s | horizon 40 | train 2.374128e-02 | val n/a
epoch 0167 | 162.15s | horizon 40 | train 2.340031e-02 | val n/a
epoch 0168 | 160.54s | horizon 40 | train 2.289866e-02 | val n/a
epoch 0169 | 159.67s | horizon 40 | train 2.291941e-02 | val n/a
epoch 0170 | 158.26s | horizon 40 | train 2.780238e-02 | val n/a
epoch 0171 | 160.69s | horizon 40 | train 2.498495e-02 | val n/a
epoch 0172 | 159.45s | horizon 40 | train 2.210344e-02 | val n/a
epoch 0173 | 159.43s | horizon 40 | train 2.019273e-02 | val n/a
epoch 0174 | 160.33s | horizon 40 | train 2.174099e-02 | val n/a
epoch 0175 | 158.92s | horizon 40 | train 2.389995e-02 | val n/a
epoch 0176 | 157.27s | horizon 40 | train 2.278262e-02 | val n/a
epoch 0177 | 158.42s | horizon 40 | train 2.197336e-02 | val n/a
epoch 0178 | 158.71s | horizon 40 | train 2.197633e-02 | val n/a
epoch 0179 | 167.81s | horizon 40 | train 2.175214e-02 | val n/a
epoch 0180 | 160.22s | horizon 40 | train 2.343954e-02 | val n/a
epoch 0181 | 158.15s | horizon 40 | train 2.158473e-02 | val n/a
epoch 0182 | 158.08s | horizon 40 | train 1.964583e-02 | val n/a
epoch 0183 | 159.77s | horizon 40 | train 2.393155e-02 | val n/a
epoch 0184 | 161.05s | horizon 40 | train 2.793191e-02 | val n/a
epoch 0185 | 163.08s | horizon 40 | train 2.114750e-02 | val n/a
epoch 0186 | 158.43s | horizon 40 | train 2.153476e-02 | val n/a
epoch 0187 | 160.95s | horizon 40 | train 2.151386e-02 | val n/a
epoch 0188 | 158.78s | horizon 40 | train 2.119320e-02 | val n/a
epoch 0189 | 158.11s | horizon 40 | train 2.111493e-02 | val n/a
epoch 0190 | 158.11s | horizon 40 | train 2.108928e-02 | val n/a
epoch 0191 | 157.05s | horizon 40 | train 2.288374e-02 | val n/a
epoch 0192 | 159.65s | horizon 40 | train 2.052163e-02 | val n/a
epoch 0193 | 159.98s | horizon 40 | train 1.743205e-02 | val n/a
epoch 0194 | 157.03s | horizon 40 | train 1.812956e-02 | val n/a
epoch 0195 | 158.69s | horizon 40 | train 1.731810e-02 | val n/a
epoch 0196 | 161.12s | horizon 40 | train 1.742243e-02 | val n/a
epoch 0197 | 161.44s | horizon 40 | train 1.743958e-02 | val n/a
epoch 0198 | 159.98s | horizon 40 | train 1.744577e-02 | val n/a
epoch 0199 | 161.87s | horizon 40 | train 1.742743e-02 | val n/a
epoch 0200 | 160.50s | horizon 40 | train 1.707488e-02 | val n/a
epoch 0201 | 158.69s | horizon 40 | train 1.544409e-02 | val n/a
epoch 0202 | 160.82s | horizon 40 | train 1.671761e-02 | val n/a
epoch 0203 | 160.48s | horizon 40 | train 1.573981e-02 | val n/a
epoch 0204 | 160.61s | horizon 40 | train 1.486173e-02 | val n/a
epoch 0205 | 160.41s | horizon 40 | train 1.516549e-02 | val n/a
epoch 0206 | 162.17s | horizon 40 | train 1.634522e-02 | val n/a
epoch 0207 | 157.91s | horizon 40 | train 1.602589e-02 | val n/a
epoch 0208 | 158.40s | horizon 40 | train 1.548386e-02 | val n/a
epoch 0209 | 160.68s | horizon 40 | train 1.445764e-02 | val n/a
epoch 0210 | 161.22s | horizon 40 | train 1.499262e-02 | val n/a
epoch 0211 | 160.51s | horizon 40 | train 1.582229e-02 | val n/a
epoch 0212 | 157.32s | horizon 40 | train 1.605290e-02 | val n/a
epoch 0213 | 153.96s | horizon 40 | train 1.623492e-02 | val n/a
epoch 0214 | 155.64s | horizon 40 | train 1.635600e-02 | val n/a
epoch 0215 | 154.82s | horizon 40 | train 1.643543e-02 | val n/a
epoch 0216 | 153.56s | horizon 40 | train 1.640643e-02 | val n/a
epoch 0217 | 155.41s | horizon 40 | train 1.652230e-02 | val n/a
epoch 0218 | 158.16s | horizon 40 | train 1.661375e-02 | val n/a
epoch 0219 | 154.42s | horizon 40 | train 1.656056e-02 | val n/a
epoch 0220 | 156.99s | horizon 40 | train 1.657494e-02 | val n/a
epoch 0221 | 155.42s | horizon 40 | train 1.589382e-02 | val n/a
epoch 0222 | 154.87s | horizon 40 | train 1.677229e-02 | val n/a
epoch 0223 | 156.88s | horizon 40 | train 1.744658e-02 | val n/a
epoch 0224 | 156.50s | horizon 40 | train 1.602723e-02 | val n/a
epoch 0225 | 156.93s | horizon 40 | train 1.671003e-02 | val n/a
epoch 0226 | 154.10s | horizon 40 | train 1.445826e-02 | val n/a
epoch 0227 | 155.40s | horizon 40 | train 1.470557e-02 | val n/a
epoch 0228 | 156.86s | horizon 40 | train 1.471810e-02 | val n/a
epoch 0229 | 157.51s | horizon 40 | train 1.481533e-02 | val n/a
epoch 0230 | 156.44s | horizon 40 | train 1.561568e-02 | val n/a
epoch 0231 | 155.86s | horizon 40 | train 1.637541e-02 | val n/a
epoch 0232 | 157.37s | horizon 40 | train 1.660666e-02 | val n/a
epoch 0233 | 156.57s | horizon 40 | train 1.669884e-02 | val n/a
epoch 0234 | 155.13s | horizon 40 | train 1.678752e-02 | val n/a
epoch 0235 | 164.31s | horizon 40 | train 1.685423e-02 | val n/a
epoch 0236 | 156.38s | horizon 40 | train 1.692140e-02 | val n/a
epoch 0237 | 155.35s | horizon 40 | train 1.690198e-02 | val n/a
epoch 0238 | 154.92s | horizon 40 | train 1.695374e-02 | val n/a
epoch 0239 | 153.11s | horizon 40 | train 1.711913e-02 | val n/a
epoch 0240 | 157.41s | horizon 40 | train 1.828240e-02 | val n/a
epoch 0241 | 158.42s | horizon 40 | train 1.756462e-02 | val n/a
epoch 0242 | 154.07s | horizon 40 | train 1.623235e-02 | val n/a
epoch 0243 | 153.39s | horizon 40 | train 1.671931e-02 | val n/a
epoch 0244 | 154.63s | horizon 40 | train 1.633198e-02 | val n/a
epoch 0245 | 159.22s | horizon 40 | train 1.656525e-02 | val n/a
epoch 0246 | 158.38s | horizon 40 | train 1.673508e-02 | val n/a
epoch 0247 | 154.04s | horizon 40 | train 1.683929e-02 | val n/a
epoch 0248 | 157.27s | horizon 40 | train 1.689736e-02 | val n/a
epoch 0249 | 155.97s | horizon 40 | train 1.693551e-02 | val n/a
epoch 0250 | 154.94s | horizon 40 | train 1.694461e-02 | val n/a
epoch 0251 | 155.73s | horizon 40 | train 1.705671e-02 | val n/a
epoch 0252 | 156.21s | horizon 40 | train 1.703305e-02 | val n/a
epoch 0253 | 153.58s | horizon 40 | train 1.704817e-02 | val n/a
epoch 0254 | 154.99s | horizon 40 | train 1.698635e-02 | val n/a
epoch 0255 | 155.90s | horizon 40 | train 1.721039e-02 | val n/a
epoch 0256 | 155.49s | horizon 40 | train 1.929056e-02 | val n/a
epoch 0257 | 155.78s | horizon 40 | train 1.739549e-02 | val n/a
epoch 0258 | 158.81s | horizon 40 | train 1.662743e-02 | val n/a
epoch 0259 | 154.33s | horizon 40 | train 1.674048e-02 | val n/a
epoch 0260 | 158.64s | horizon 40 | train 1.691255e-02 | val n/a
epoch 0261 | 159.62s | horizon 40 | train 1.695854e-02 | val n/a
epoch 0262 | 160.95s | horizon 40 | train 1.699689e-02 | val n/a
epoch 0263 | 154.08s | horizon 40 | train 1.701877e-02 | val n/a
epoch 0264 | 159.36s | horizon 40 | train 1.703735e-02 | val n/a
epoch 0265 | 153.68s | horizon 40 | train 1.700088e-02 | val n/a
epoch 0266 | 154.46s | horizon 40 | train 1.708874e-02 | val n/a
epoch 0267 | 155.10s | horizon 40 | train 1.722490e-02 | val n/a
epoch 0268 | 156.69s | horizon 40 | train 1.693791e-02 | val n/a
epoch 0269 | 156.59s | horizon 40 | train 1.749181e-02 | val n/a
epoch 0270 | 156.63s | horizon 40 | train 1.722605e-02 | val n/a
epoch 0271 | 154.91s | horizon 40 | train 1.521147e-02 | val n/a
epoch 0272 | 155.62s | horizon 40 | train 1.605056e-02 | val n/a
epoch 0273 | 154.77s | horizon 40 | train 1.668488e-02 | val n/a
epoch 0274 | 153.30s | horizon 40 | train 1.681053e-02 | val n/a
epoch 0275 | 153.78s | horizon 40 | train 1.744783e-02 | val n/a
epoch 0276 | 155.77s | horizon 40 | train 1.532675e-02 | val n/a
epoch 0277 | 154.67s | horizon 40 | train 1.746192e-02 | val n/a
epoch 0278 | 160.79s | horizon 40 | train 1.688313e-02 | val n/a
epoch 0279 | 163.80s | horizon 40 | train 1.675177e-02 | val n/a
epoch 0280 | 157.97s | horizon 40 | train 1.682444e-02 | val n/a
epoch 0281 | 156.01s | horizon 40 | train 1.688323e-02 | val n/a
epoch 0282 | 156.24s | horizon 40 | train 1.696454e-02 | val n/a
epoch 0283 | 153.82s | horizon 40 | train 1.699072e-02 | val n/a
epoch 0284 | 158.83s | horizon 40 | train 1.700874e-02 | val n/a
epoch 0285 | 156.04s | horizon 40 | train 1.698432e-02 | val n/a
epoch 0286 | 153.45s | horizon 40 | train 1.697527e-02 | val n/a
epoch 0287 | 156.57s | horizon 40 | train 1.693364e-02 | val n/a
epoch 0288 | 156.06s | horizon 40 | train 1.696022e-02 | val n/a
epoch 0289 | 155.27s | horizon 40 | train 1.698483e-02 | val n/a
epoch 0290 | 157.33s | horizon 40 | train 2.006069e-02 | val n/a
epoch 0291 | 153.69s | horizon 40 | train 1.572728e-02 | val n/a
epoch 0292 | 154.36s | horizon 40 | train 1.538726e-02 | val n/a
epoch 0293 | 154.34s | horizon 40 | train 1.526706e-02 | val n/a
epoch 0294 | 154.65s | horizon 40 | train 1.524703e-02 | val n/a
epoch 0295 | 156.81s | horizon 40 | train 1.522301e-02 | val n/a
epoch 0296 | 156.25s | horizon 40 | train 1.525901e-02 | val n/a
epoch 0297 | 154.34s | horizon 40 | train 1.520057e-02 | val n/a
epoch 0298 | 153.12s | horizon 40 | train 1.629832e-02 | val n/a
epoch 0299 | 152.06s | horizon 40 | train 1.861858e-02 | val n/a
epoch 0300 | 154.33s | horizon 40 | train 1.485878e-02 | val n/a
epoch 0301 | 153.99s | horizon 40 | train 1.451562e-02 | val n/a
epoch 0302 | 154.32s | horizon 40 | train 1.448176e-02 | val n/a
epoch 0303 | 155.12s | horizon 40 | train 1.446976e-02 | val n/a
epoch 0304 | 155.38s | horizon 40 | train 1.413852e-02 | val n/a
epoch 0305 | 153.89s | horizon 40 | train 1.399738e-02 | val n/a
