nohup: ignoring input
epoch 0190 | 85.63s | horizon 40 | train 4.270968e-02 | val 3.28460249e-02
epoch 0191 | 86.69s | horizon 40 | train 4.260435e-02 | val 3.75766170e-02
epoch 0192 | 84.93s | horizon 40 | train 4.585054e-02 | val 3.84346060e-02
epoch 0193 | 85.28s | horizon 40 | train 4.127564e-02 | val 4.91255723e-02
epoch 0194 | 84.65s | horizon 40 | train 4.723922e-02 | val 4.62174840e-02
epoch 0195 | 85.58s | horizon 40 | train 4.328296e-02 | val 5.15387146e-02
epoch 0196 | 86.65s | horizon 40 | train 4.430619e-02 | val 3.89214650e-02
epoch 0197 | 84.32s | horizon 40 | train 4.475102e-02 | val 3.96989417e-02
epoch 0198 | 86.08s | horizon 40 | train 4.110764e-02 | val 4.05628964e-02
epoch 0199 | 85.14s | horizon 40 | train 4.340545e-02 | val 3.83228494e-02
epoch 0200 | 82.74s | horizon 40 | train 3.539112e-02 | val 3.32305968e-02
epoch 0201 | 84.87s | horizon 40 | train 3.439679e-02 | val 3.08274239e-02
epoch 0202 | 87.70s | horizon 40 | train 3.361247e-02 | val 3.95995112e-02
epoch 0203 | 86.25s | horizon 40 | train 3.354142e-02 | val 3.14251192e-02
epoch 0204 | 85.38s | horizon 40 | train 3.173867e-02 | val 3.11257105e-02
epoch 0205 | 88.61s | horizon 40 | train 3.393019e-02 | val 3.21848530e-02
epoch 0206 | 85.33s | horizon 40 | train 3.236543e-02 | val 3.73256694e-02
epoch 0207 | 85.77s | horizon 40 | train 3.277289e-02 | val 2.90400349e-02
epoch 0208 | 85.90s | horizon 40 | train 3.126655e-02 | val 3.07158366e-02
epoch 0209 | 87.51s | horizon 40 | train 3.301954e-02 | val 3.83342753e-02
epoch 0210 | 87.09s | horizon 40 | train 3.298229e-02 | val 3.84162095e-02
epoch 0211 | 88.04s | horizon 40 | train 3.309134e-02 | val 3.17651641e-02
epoch 0212 | 90.13s | horizon 40 | train 3.288215e-02 | val 2.90908138e-02
epoch 0213 | 86.96s | horizon 40 | train 3.077046e-02 | val 2.86825417e-02
