nohup: ignoring input
dataset shape :  (50, 64, 64, 1200)
Navier-Stokes (vis = 1e-3) Dataset has been loaded successfully!
X train shape: torch.Size([1000, 64, 64, 10]) Y train shape: torch.Size([1000, 64, 64, 40])
X test shape: torch.Size([200, 64, 64, 10]) Y test shape: torch.Size([200, 64, 64, 40])
The autoencoder type is MLP.
KNO2d model is completed.
Koopman Model has been compiled!
The Model Parameters Number is  526026
Epoch Time [Train Recons MSE] [Train Pred MSE] [Eval Recons MSE] [Eval Pred MSE]
43 51.16045859301812 0.0003032856874633581 0.0023394059762358666 0.0032872885023243724 0.002665878797415644
44 55.28424981399439 0.0002967739161103963 0.003381285557989031 0.0034222636162303385 0.003261771472170949
45 53.90161538097891 0.0002876705580856651 0.0033250144217163323 0.0030170015362091357 0.005275873164646327
46 55.26780457299901 0.000281453202245757 0.004074818586232141 0.0033239536662586027 0.0024613211746327577
47 57.20108992001042 0.0002741986068431287 0.002220652687828988 0.002992195265833288 0.0030383501318283377
48 57.879862479981966 0.00026482427865266804 0.001993033770704642 0.003010198399424553 0.002025063947075978
49 57.463220546982484 0.00026148602715693416 0.003658982990309596 0.0029707731562666597 0.003058059758041054
50 58.15444152901182 0.0002532182310242205 0.0022249062440823763 0.002793774865567684 0.002177634509280324
51 58.21828665200155 0.00024636138696223494 0.0027666264353320004 0.0025965388538315894 0.002387163252569735
52 55.847830607002834 0.0002416906992439181 0.002375288939801976 0.0027650764887221153 0.0022869476466439663
53 56.759060220996616 0.00023387726303189987 0.0030001713626552373 0.002604026789776981 0.0025746764265932144
54 56.70863270299742 0.00022988130082376298 0.0020336148305796086 0.0025330257881432767 0.001802514272276312
55 55.7622464899905 0.0002242256007157267 0.0030447405041195454 0.0025946843391284344 0.002295075834263116
56 56.53403951000655 0.00022140444943215696 0.0029482152545824646 0.002465272934641689 0.0023560826492030175
57 55.92216206699959 0.00021648757008370004 0.002746617553057149 0.002694719559513032 0.002408043178729713
58 56.12137283899938 0.00021463757543824607 0.0024902702716644853 0.0026066400413401426 0.0017675796465482564
59 56.84827717000735 0.00021377727156504994 0.0028845887270290403 0.0024414111580699682 0.0017768756893929093
60 54.97752129298169 0.0002097206674516201 0.003670311177847907 0.0022034249221906063 0.003041615919210017
61 75.12582611499238 0.00020476255216635763 0.002031528514344245 0.0023977906280197203 0.0016212546732276678
62 55.08618255800684 0.0001968937265919521 0.0016445860941894353 0.0023935547238215804 0.002343045733869076
63 53.61419080401538 0.0002051298065343871 0.0040440265682991595 0.0022493646992370487 0.0019491776532959194
64 54.446170997980516 0.00019295496353879577 0.0017182636575307697 0.00216414604219608 0.0016746105160564185
